LOG 2024/04/21
Save Path: D:\java\GitHub\pornMagnetSpringBoot\Logs
Task Start: 2024/04/21 12:39:17
Task CommandLine: "D:\java\GitHub\pornMagnetSpringBoot\N_m3u8DL-CLI_v3.0.2.exe" 

12:39:17.084 / (NORMAL) 开始解析 https://cdn2.jiuse2.cloud/hls/958090/index.m3u8?t=1713674033&m=pP7Bi61mL43STmqXpv5XeA
12:39:17.528 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:17.528 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:39:18.988 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:18.988 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:39:20.450 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:20.451 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:39:22.090 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:22.091 / (ERROR) 远程服务器返回错误: (410) 不再存在。
12:39:23.543 / (NORMAL) 远程服务器返回错误: (410) 不再存在。
12:39:23.543 / (ERROR) 远程服务器返回错误: (410) 不再存在。
