LOG 2024/04/21
Save Path: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Logs
Task Start: 2024/04/21 13:26:31
Task CommandLine: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\N_m3u8DL-CLI_v3.0.2.exe https://cdn2.jiuse2.cloud/hls/463698/index.m3u8?t=1713677237&m=yhW_L4gVQkRSkouVOnbOew --saveName （原创申精认证）商场里搭讪没穿内裤的大长腿御姐字幕 --workDir D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Downloads

13:26:31.329 / (NORMAL) 开始解析 https://cdn2.jiuse2.cloud/hls/463698/index.m3u8?t=1713677237&m=yhW_L4gVQkRSkouVOnbOew
13:26:33.077 / (NORMAL) 写出meta.json
13:26:33.148 / (NORMAL) 开始下载文件
13:26:33.371 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/463698/index0.ts
13:26:34.373 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/463698/index0.ts
13:26:34.836 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/463698/index0.ts
13:26:35.840 / (ERROR) DOWN: AUTO RETRY 2/3 https://cdn2.jiuse2.cloud/hls/463698/index0.ts
13:26:36.325 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/463698/index0.ts
13:26:37.336 / (ERROR) DOWN: AUTO RETRY 3/3 https://cdn2.jiuse2.cloud/hls/463698/index0.ts
13:26:37.799 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/463698/index0.ts
13:26:37.805 / (NORMAL) 读取文件信息...
13:26:37.806 / (NORMAL) Error in reading file
13:26:38.293 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/463698/index50.ts
13:26:38.293 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/463698/index1.ts
13:26:38.294 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/463698/index8.ts
