LOG 2024/04/21
Save Path: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Logs
Task Start: 2024/04/21 13:26:34
Task CommandLine: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\N_m3u8DL-CLI_v3.0.2.exe https://cdn2.jiuse2.cloud/hls/461689/index.m3u8?t=1713677240&m=JvREMXt1tgo-aBjvOk42ZA --saveName [原创]长沙绿帽男！露脸3P御姐女友第一集 --workDir D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Downloads

13:26:34.825 / (NORMAL) 开始解析 https://cdn2.jiuse2.cloud/hls/461689/index.m3u8?t=1713677240&m=JvREMXt1tgo-aBjvOk42ZA
13:26:36.021 / (NORMAL) 写出meta.json
13:26:36.103 / (NORMAL) 开始下载文件
13:26:36.329 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index0.ts
13:26:37.336 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/461689/index0.ts
13:26:37.799 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index0.ts
13:26:38.813 / (ERROR) DOWN: AUTO RETRY 2/3 https://cdn2.jiuse2.cloud/hls/461689/index0.ts
13:26:39.481 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index0.ts
13:26:40.492 / (ERROR) DOWN: AUTO RETRY 3/3 https://cdn2.jiuse2.cloud/hls/461689/index0.ts
13:26:40.965 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index0.ts
13:26:40.969 / (NORMAL) 读取文件信息...
13:26:40.969 / (NORMAL) Error in reading file
13:26:41.441 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index19.ts
13:26:41.442 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index16.ts
13:26:41.443 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index1.ts
13:26:41.444 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index7.ts
13:26:41.447 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index13.ts
13:26:41.448 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index22.ts
13:26:41.448 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index4.ts
13:26:41.449 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index25.ts
13:26:41.451 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index10.ts
13:26:42.134 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/461689/index28.ts
13:26:42.447 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/461689/index19.ts
