LOG 2024/04/21
Save Path: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Logs
Task Start: 2024/04/21 13:26:35
Task CommandLine: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\N_m3u8DL-CLI_v3.0.2.exe https://cdn2.jiuse2.cloud/hls/566626/index.m3u8?t=1713677241&m=0zwGcZ7p-T5JkCFNgO4SdA --saveName 约操高挑完美女神御姐 --workDir D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Downloads

13:26:35.307 / (NORMAL) 开始解析 https://cdn2.jiuse2.cloud/hls/566626/index.m3u8?t=1713677241&m=0zwGcZ7p-T5JkCFNgO4SdA
13:26:36.699 / (NORMAL) 写出meta.json
13:26:36.772 / (NORMAL) 开始下载文件
13:26:36.992 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/566626/index0.ts
13:26:37.998 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/566626/index0.ts
13:26:38.468 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/566626/index0.ts
13:26:39.478 / (ERROR) DOWN: AUTO RETRY 2/3 https://cdn2.jiuse2.cloud/hls/566626/index0.ts
13:26:39.943 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/566626/index0.ts
13:26:40.955 / (ERROR) DOWN: AUTO RETRY 3/3 https://cdn2.jiuse2.cloud/hls/566626/index0.ts
13:26:41.421 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/566626/index0.ts
13:26:41.424 / (NORMAL) 读取文件信息...
13:26:41.425 / (NORMAL) Error in reading file
13:26:41.912 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/566626/index1.ts
13:26:41.912 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/566626/index7.ts
13:26:41.913 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/566626/index3.ts
13:26:41.913 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/566626/index15.ts
13:26:41.914 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/566626/index17.ts
13:26:41.917 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/566626/index5.ts
13:26:41.926 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/566626/index13.ts
