LOG 2024/04/21
Save Path: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Logs
Task Start: 2024/04/21 13:26:37
Task CommandLine: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\N_m3u8DL-CLI_v3.0.2.exe https://cdn2.jiuse2.cloud/hls/454764/index.m3u8?t=1713677243&m=gjklZh_XQGMauY7N4-8YsQ --saveName [原创]白嫩御姐！表情淫荡爽死了！ --workDir D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Downloads

13:26:37.777 / (NORMAL) 开始解析 https://cdn2.jiuse2.cloud/hls/454764/index.m3u8?t=1713677243&m=gjklZh_XQGMauY7N4-8YsQ
13:26:39.202 / (NORMAL) 写出meta.json
13:26:39.279 / (NORMAL) 开始下载文件
13:26:39.506 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/454764/index0.ts
13:26:40.508 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/454764/index0.ts
13:26:40.972 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/454764/index0.ts
13:26:41.985 / (ERROR) DOWN: AUTO RETRY 2/3 https://cdn2.jiuse2.cloud/hls/454764/index0.ts
13:26:42.479 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/454764/index0.ts
13:26:43.479 / (ERROR) DOWN: AUTO RETRY 3/3 https://cdn2.jiuse2.cloud/hls/454764/index0.ts
13:26:44.034 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/454764/index0.ts
13:26:44.039 / (NORMAL) 读取文件信息...
13:26:44.039 / (NORMAL) Error in reading file
13:26:45.189 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/454764/index4.ts
