LOG 2024/04/21
Save Path: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Logs
Task Start: 2024/04/21 13:26:38
Task CommandLine: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\N_m3u8DL-CLI_v3.0.2.exe https://cdn2.jiuse2.cloud/hls/608258/index.m3u8?t=1713677244&m=pldWbF8qsaYRtk7VTF_ZWQ --saveName 同城约到的御姐，不是有钱就会忠心不二，还是要看活好不好！ --workDir D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Downloads

13:26:38.419 / (NORMAL) 开始解析 https://cdn2.jiuse2.cloud/hls/608258/index.m3u8?t=1713677244&m=pldWbF8qsaYRtk7VTF_ZWQ
13:26:39.609 / (NORMAL) 写出meta.json
13:26:39.681 / (NORMAL) 开始下载文件
13:26:39.906 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index0.ts
13:26:40.908 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/608258/index0.ts
13:26:41.369 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index0.ts
13:26:42.375 / (ERROR) DOWN: AUTO RETRY 2/3 https://cdn2.jiuse2.cloud/hls/608258/index0.ts
13:26:42.863 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index0.ts
13:26:43.872 / (ERROR) DOWN: AUTO RETRY 3/3 https://cdn2.jiuse2.cloud/hls/608258/index0.ts
13:26:45.123 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index0.ts
13:26:45.126 / (NORMAL) 读取文件信息...
13:26:45.127 / (NORMAL) Error in reading file
13:26:45.599 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index9.ts
13:26:45.601 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index2.ts
13:26:45.602 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index8.ts
13:26:45.615 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index7.ts
13:26:45.616 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index3.ts
13:26:45.616 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index4.ts
13:26:45.618 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index1.ts
13:26:45.618 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index6.ts
13:26:45.618 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index5.ts
13:26:46.254 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/608258/index10.ts
