LOG 2024/04/21
Save Path: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Logs
Task Start: 2024/04/21 14:33:57
Task CommandLine: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\N_m3u8DL-CLI_v3.0.2.exe https://cdn2.jiuse2.cloud/hls/901419/index.m3u8?t=1713681283&m=66fCrhdZ1GY-IcRPy0sZ-g --saveName 内射灌满Soul约炮传媒学院大二黑丝御姐超级反差！！！ --workDir D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Downloads

14:33:57.538 / (NORMAL) 开始解析 https://cdn2.jiuse2.cloud/hls/901419/index.m3u8?t=1713681283&m=66fCrhdZ1GY-IcRPy0sZ-g
14:33:58.976 / (NORMAL) 写出meta.json
14:33:59.039 / (NORMAL) 开始下载文件
14:34:00.060 / (NORMAL) 读取文件信息...
14:34:00.112 / (NORMAL) PID 0x100: Video h264, yuv420p(progressive), 600x336, 30 fps, 30 tbr, 90k tbn, 60 tbc
14:34:00.112 / (NORMAL) PID 0x101: Audio aac, 44100 Hz, stereo, fltp, 125 kb/s
14:34:00.607 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/901419/index4.ts
14:34:00.791 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/901419/index19.ts
14:34:00.792 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/901419/index7.ts
14:34:01.407 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/901419/index23.ts
14:34:01.615 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/901419/index4.ts
14:34:01.799 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/901419/index7.ts
