LOG 2024/04/21
Save Path: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Logs
Task Start: 2024/04/21 14:41:29
Task CommandLine: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\N_m3u8DL-CLI_v3.0.2.exe https://cdn2.jiuse2.cloud/hls/544265/index.m3u8?t=1713681736&m=H1KWKV_wIKGD4YiHy8gg_g --saveName 包射！御姐大奶皮肤嫩出水 --workDir D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Downloads

14:41:29.844 / (NORMAL) 开始解析 https://cdn2.jiuse2.cloud/hls/544265/index.m3u8?t=1713681736&m=H1KWKV_wIKGD4YiHy8gg_g
14:41:31.291 / (NORMAL) 写出meta.json
14:41:31.426 / (NORMAL) 开始下载文件
14:41:32.055 / (NORMAL) 读取文件信息...
14:41:32.090 / (NORMAL) PID 0x100: Video h264, yuv420p(progressive), 600x336, 60 fps, 60 tbr, 90k tbn, 120 tbc
14:41:32.090 / (NORMAL) PID 0x101: Audio aac, 48000 Hz, stereo, fltp, 4 kb/s
14:41:32.576 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/544265/index22.ts
14:41:32.576 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/544265/index19.ts
14:41:32.576 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/544265/index1.ts
14:41:32.576 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/544265/index13.ts
14:41:33.586 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/544265/index1.ts
14:41:33.586 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/544265/index22.ts
14:41:33.587 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/544265/index13.ts
14:41:33.587 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/544265/index19.ts
14:41:33.734 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/544265/index11.ts
14:41:34.114 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/544265/index22.ts
14:41:34.114 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/544265/index19.ts
14:41:34.114 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/544265/index13.ts
14:41:34.464 / (ERROR) DOWN: 远程服务器返回错误: (503) 服务器不可用。 https://cdn2.jiuse2.cloud/hls/544265/index26.ts
14:41:34.751 / (ERROR) DOWN: AUTO RETRY 1/3 https://cdn2.jiuse2.cloud/hls/544265/index11.ts
