LOG 2025/03/10
Save Path: D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\Logs
Task Start: 2025/03/10 21:26:27
Task CommandLine: "D:\java\GitHub\pornMagnetSpringBoot\_91pornyy\ffmpeg_and_SimpleG\N_m3u8DL-CLI_v3.0.2.exe" "https://91porny.com/video/view/4d5de794f6be4cf0c8e4" --saveName "4d5de794f6be4cf0c8e4" 

21:26:27.354 / (NORMAL) 开始解析 https://91porny.com/video/view/4d5de794f6be4cf0c8e4
21:26:27.903 / (NORMAL) 远程服务器返回错误: (403) 已禁止。
21:26:27.903 / (ERROR) 远程服务器返回错误: (403) 已禁止。
21:26:30.133 / (NORMAL) 远程服务器返回错误: (403) 已禁止。
21:26:30.133 / (ERROR) 远程服务器返回错误: (403) 已禁止。
21:26:31.422 / (NORMAL) 远程服务器返回错误: (403) 已禁止。
21:26:31.423 / (ERROR) 远程服务器返回错误: (403) 已禁止。
21:26:32.745 / (NORMAL) 远程服务器返回错误: (403) 已禁止。
21:26:32.746 / (ERROR) 远程服务器返回错误: (403) 已禁止。
21:26:34.025 / (NORMAL) 远程服务器返回错误: (403) 已禁止。
21:26:34.026 / (ERROR) 远程服务器返回错误: (403) 已禁止。
